,segment,abitazione,isolamento,age,area,regione,longitude,latitude,ripartizione,temperatura_estiva,umidita_estiva,temperatura_invernale,degree_days,riscaldament_fascia_A,riscaldament_fascia_B,riscaldament_fascia_C,riscaldament,raffrescament_fascia_A,elettricita,raffrescament_fascia_B,raffrescament_fascia_C,raffrescament
2694,1,appartamento in edificio medio,Ben isolata,19,139,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,5,1,8,2,389,2,2,6
2695,1,casa unifamiliare,Abbastanza isolata,122,344,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,1,3,0,4,0,889,0,0,0
2696,2,casa unifamiliare,Ben isolata,41,258,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,3,0,5,0,489,0,0,0
2697,2,appartamento in edificio piccolo,Ben isolata,43,73,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,0,3,0,3,0,689,0,0,0
2698,0,casa plurifamiliare,Abbastanza isolata,35,88,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,3,0,5,0,689,0,0,0
2699,2,casa unifamiliare,Abbastanza isolata,36,123,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,8,1,11,0,489,0,0,0
2700,1,casa plurifamiliare,Ben isolata,36,115,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,0,4,1,5,0,889,0,0,0
2701,0,appartamento in edificio grande,Non isolata,40,69,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,4,8,1,13,0,389,0,0,0
2702,1,appartamento in edificio piccolo,Abbastanza isolata,27,115,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,8,6,8,22,0,689,0,0,0
2703,0,casa plurifamiliare,Abbastanza isolata,128,69,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,1,1,1,3,0,389,0,0,0
2704,2,appartamento in edificio grande,Ben isolata,46,87,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,3,8,1,12,0,589,0,0,0
2705,0,appartamento in edificio medio,Ben isolata,45,103,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,3,3,1,7,0,889,0,0,0
2706,0,appartamento in edificio piccolo,Ben isolata,58,128,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,4,6,0,10,0,489,0,0,0
2707,1,appartamento in edificio piccolo,Non isolata,20,149,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,5,0,7,0,789,0,0,0
2708,0,appartamento in edificio piccolo,Poco isolata,129,118,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,6,8,3,17,0,389,0,0,0
2709,1,appartamento in edificio piccolo,Poco isolata,40,79,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,2,6,0,8,0,489,0,0,0
2710,0,casa unifamiliare,Ben isolata,45,85,Lombardia,8.95,45.35,Nord_Ovest,32.0,48,-5,2404,1,1,1,3,0,389,0,0,0
