,segment,abitazione,isolamento,age,area,regione,longitude,latitude,ripartizione,temperatura_estiva,umidita_estiva,temperatura_invernale,degree_days,riscaldament_fascia_A,riscaldament_fascia_B,riscaldament_fascia_C,riscaldament,raffrescament_fascia_A,elettricita,raffrescament_fascia_B,raffrescament_fascia_C,raffrescament,ripart_t,segment_i,seg_cas,isolamento_intercept,seg_rip,ripart_intercept,locationAbition,new_group_e,new_group_r
8176,1,casa unifamiliare,Ben isolata,39,134,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,3,8,0,11,0,1691.9962,0,0,0,non_nord_est,secondo,SC5,isI0,SR0,Centr,Centrale-casa unifamiliare-1,HSDR_group52,Zero
8177,0,casa plurifamiliare,Ben isolata,58,96,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,1,3,0,4,0,1715.304,0,0,0,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa plurifamiliare-0,HSDR_group64,Zero
8178,0,casa unifamiliare,Abbastanza isolata,77,65,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,6,8,1,15,0,8497.452,0,0,0,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa unifamiliare-0,HSDR_group64,Zero
8179,1,appartamento in edificio piccolo,Abbastanza isolata,58,118,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,0,0,0,0,0,2736.1354,0,0,0,non_nord_est,secondo,SC0,isI0,SR0,Centr,Centrale-appartamento in edificio piccolo-1,HSDR_group52,Zero
8180,1,appartamento in edificio piccolo,Abbastanza isolata,34,94,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,1,4,0,5,0,2247.252,0,0,0,non_nord_est,secondo,SC0,isI0,SR0,Centr,Centrale-appartamento in edificio piccolo-1,HSDR_group52,Zero
8181,0,appartamento in edificio medio,Ben isolata,30,111,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,0,4,0,4,0,1771.4081,0,0,0,non_nord_est,primo,SC1,isI0,SR0,Centr,Centrale-appartamento in edificio medio-0,HSDR_group63,Zero
8182,2,casa plurifamiliare,Ben isolata,4,119,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,3,8,2,13,0,2182.2234,0,0,0,non_nord_est,primo,SC0,isI0,SR0,Centr,Centrale-casa plurifamiliare-2,HSDR_group64,Zero
8183,1,appartamento in edificio piccolo,Ben isolata,14,154,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,8,6,8,22,0,2851.9152000000004,0,0,0,non_nord_est,secondo,SC0,isI0,SR0,Centr,Centrale-appartamento in edificio piccolo-1,HSDR_group52,Zero
8184,1,casa unifamiliare,Abbastanza isolata,17,116,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,2,2,0,4,0,2120.072,0,0,0,non_nord_est,secondo,SC5,isI0,SR0,Centr,Centrale-casa unifamiliare-1,HSDR_group52,Zero
8185,3,casa unifamiliare,Poco isolata,26,97,Umbria,12.38,43.11,Centrale,30.5,40,-2,2289,6,8,2,16,0,2567.2522000000004,0,0,0,non_nord_est,primo,SC0,isI1,SR0,Centr,Centrale-casa unifamiliare-3,HSDR_group52,Zero
